PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner 3_FGM,Corner 3_FGA,Corner 3_FG_PCT,Total Shots_FGM,Total from 3_FGM,Pct RA_FGM,Pct 3_FGM,Pct Moreyball_FGM,Total Shots_FGA,Total from 3_FGA,Pct RA_FGA,Pct 3_FGA,Pct Moreyball_FGA
203954,Joel Embiid,1610612755,PHI,31.0,Joel,27.0,42.0,0.643,14.0,32.0,0.438,22.0,51.0,0.431,0.0,1.0,0.0,0.0,0.0,0.0,12,52,0.231,0.0,0.0,0.0,0.0,1.0,0.0,75.0,12.0,0.36,0.16,0.52,178.0,53.0,0.236,0.298,0.534
1628415,Dillon Brooks,1610612756,PHX,29.0,Dillon,33.0,46.0,0.717,50.0,97.0,0.515,39.0,83.0,0.47,5.0,16.0,0.313,1.0,11.0,0.091,48,133,0.361,0.0,0.0,0.0,6.0,27.0,0.222,176.0,54.0,0.188,0.307,0.495,386.0,160.0,0.119,0.415,0.534
1626171,Bobby Portis,1610612749,MIL,30.0,Bobby,29.0,43.0,0.674,26.0,66.0,0.394,36.0,73.0,0.493,13.0,24.0,0.542,4.0,8.0,0.5,37,83,0.446,0.0,0.0,0.0,17.0,32.0,0.531,145.0,54.0,0.2,0.372,0.572,297.0,115.0,0.145,0.387,0.532
1629630,Ja Morant,1610612763,MEM,26.0,Ja,28.0,53.0,0.528,31.0,81.0,0.383,9.0,26.0,0.346,1.0,2.0,0.5,4.0,7.0,0.571,8,58,0.138,0.0,0.0,0.0,5.0,9.0,0.556,81.0,13.0,0.346,0.16,0.506,227.0,67.0,0.233,0.295,0.528
1628973,Jalen Brunson,1610612752,NYK,29.0,Jalen,62.0,93.0,0.667,81.0,160.0,0.506,50.0,103.0,0.485,6.0,15.0,0.4,12.0,22.0,0.545,56,161,0.348,0.0,0.0,0.0,18.0,37.0,0.486,267.0,74.0,0.232,0.277,0.509,554.0,198.0,0.168,0.357,0.525
1628991,Jaren Jackson Jr.,1610612763,MEM,26.0,Jaren,40.0,70.0,0.571,77.0,139.0,0.554,13.0,33.0,0.394,6.0,15.0,0.4,6.0,16.0,0.375,31,89,0.348,0.0,0.0,0.0,12.0,31.0,0.387,173.0,43.0,0.231,0.249,0.48,362.0,120.0,0.193,0.331,0.524
1641718,Keyonte George,1610612762,UTA,22.0,Keyonte,36.0,51.0,0.706,67.0,141.0,0.475,32.0,73.0,0.438,3.0,9.0,0.333,7.0,18.0,0.389,55,157,0.35,0.0,0.0,0.0,10.0,27.0,0.37,200.0,65.0,0.18,0.325,0.505,449.0,184.0,0.114,0.41,0.524
1628983,Shai Gilgeous-Alexander,1610612760,OKC,27.0,Shai,94.0,138.0,0.681,74.0,123.0,0.602,68.0,134.0,0.507,3.0,7.0,0.429,1.0,2.0,0.5,56,130,0.431,0.0,0.0,0.0,4.0,9.0,0.444,296.0,60.0,0.318,0.203,0.521,534.0,139.0,0.258,0.26,0.518
1629639,Tyler Herro,1610612748,MIA,25.0,Tyler,9.0,14.0,0.643,21.0,33.0,0.636,5.0,15.0,0.333,2.0,6.0,0.333,1.0,3.0,0.333,12,28,0.429,0.0,0.0,0.0,3.0,9.0,0.333,50.0,15.0,0.18,0.3,0.48,99.0,37.0,0.141,0.374,0.515
1629028,Deandre Ayton,1610612747,LAL,27.0,Deandre,93.0,119.0,0.782,61.0,97.0,0.629,10.0,15.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.567,0.0,0.567,231.0,0.0,0.515,0.0,0.515
1630311,Pat Spencer,1610612744,GSW,29.0,Pat,17.0,27.0,0.63,16.0,43.0,0.372,7.0,17.0,0.412,2.0,7.0,0.286,0.0,4.0,0.0,13,25,0.52,0.0,0.0,0.0,2.0,11.0,0.182,55.0,15.0,0.309,0.273,0.582,123.0,36.0,0.22,0.293,0.513
1627783,Pascal Siakam,1610612754,IND,31.0,Pascal,80.0,123.0,0.65,71.0,142.0,0.5,36.0,99.0,0.364,3.0,8.0,0.375,4.0,13.0,0.308,39,109,0.358,0.0,0.0,0.0,7.0,21.0,0.333,233.0,46.0,0.343,0.197,0.54,494.0,130.0,0.249,0.263,0.512
1628389,Bam Adebayo,1610612748,MIA,28.0,Bam,44.0,62.0,0.71,53.0,109.0,0.486,22.0,50.0,0.44,9.0,26.0,0.346,4.0,15.0,0.267,20,62,0.323,0.0,0.0,0.0,13.0,41.0,0.317,152.0,33.0,0.289,0.217,0.506,324.0,103.0,0.191,0.318,0.509
1631099,Keegan Murray,1610612758,SAC,25.0,Keegan,20.0,25.0,0.8,38.0,69.0,0.551,10.0,30.0,0.333,3.0,9.0,0.333,0.0,6.0,0.0,17,60,0.283,0.0,0.0,0.0,3.0,15.0,0.2,88.0,20.0,0.227,0.227,0.454,199.0,75.0,0.126,0.377,0.503
1630208,Nick Richards,1610612756,PHX,28.0,Nick,17.0,30.0,0.567,13.0,25.0,0.52,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.548,0.0,0.548,60.0,0.0,0.5,0.0,0.5
1630578,Alperen Sengun,1610612745,HOU,23.0,Alperen,101.0,146.0,0.692,70.0,154.0,0.455,20.0,57.0,0.351,1.0,3.0,0.333,2.0,3.0,0.667,17,57,0.298,0.0,0.0,0.0,3.0,6.0,0.5,211.0,20.0,0.479,0.095,0.574,420.0,63.0,0.348,0.15,0.498
203114,Khris Middleton,1610612764,WAS,34.0,Khris,17.0,29.0,0.586,8.0,22.0,0.364,28.0,51.0,0.549,3.0,6.0,0.5,0.0,4.0,0.0,12,33,0.364,0.0,0.0,0.0,3.0,10.0,0.3,68.0,15.0,0.25,0.221,0.471,145.0,43.0,0.2,0.297,0.497
1630175,Cole Anthony,1610612749,MIL,25.0,Cole,19.0,34.0,0.559,29.0,61.0,0.475,11.0,26.0,0.423,3.0,7.0,0.429,0.0,4.0,0.0,11,40,0.275,0.0,0.0,0.0,3.0,11.0,0.273,73.0,14.0,0.26,0.192,0.452,172.0,51.0,0.198,0.297,0.495
1642345,Oso Ighodaro,1610612756,PHX,23.0,Oso,41.0,53.0,0.774,23.0,56.0,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.641,0.0,0.641,110.0,1.0,0.482,0.009,0.491
1642268,Isaiah Collier,1610612762,UTA,21.0,Isaiah,23.0,34.0,0.676,24.0,54.0,0.444,0.0,1.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,5,15,0.333,0.0,0.0,0.0,2.0,4.0,0.5,54.0,7.0,0.426,0.13,0.556,108.0,19.0,0.315,0.176,0.491
1630560,Cam Thomas,1610612751,BKN,24.0,Cam,7.0,18.0,0.389,16.0,32.0,0.5,14.0,37.0,0.378,2.0,4.0,0.5,0.0,0.0,0.0,14,41,0.341,0.0,0.0,0.0,2.0,4.0,0.5,53.0,16.0,0.132,0.302,0.434,132.0,45.0,0.136,0.341,0.477
