PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner 3_FGM,Corner 3_FGA,Corner 3_FG_PCT,Total Shots_FGM,Total from 3_FGM,Pct RA_FGM,Pct 3_FGM,Pct Moreyball_FGM,Total Shots_FGA,Total from 3_FGA,Pct RA_FGA,Pct 3_FGA,Pct Moreyball_FGA
201142,Kevin Durant,1610612756,PHX,36.0,Kevin,14.0,17.0,0.824,12.0,23.0,0.522,9.0,22.0,0.409,1.0,3.0,0.333,0.0,2.0,0.0,11.0,21.0,0.524,0.0,0.0,0.0,1.0,5.0,0.2,47.0,12.0,0.298,0.255,0.553,88.0,26.0,0.193,0.295,0.488
1627750,Jamal Murray,1610612743,DEN,27.0,Jamal,7.0,12.0,0.583,5.0,14.0,0.357,6.0,20.0,0.3,1.0,2.0,0.5,0.0,1.0,0.0,6.0,16.0,0.375,0.0,1.0,0.0,1.0,3.0,0.333,25.0,7.0,0.28,0.28,0.56,66.0,20.0,0.182,0.303,0.485
1627826,Ivica Zubac,1610612746,LAC,27.0,Ivica,22.0,31.0,0.71,17.0,32.0,0.531,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.55,0.0,0.55,66.0,0.0,0.47,0.0,0.47
1628991,Jaren Jackson Jr.,1610612763,MEM,25.0,Jaren,9.0,10.0,0.9,14.0,26.0,0.538,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,11.0,0.273,0.0,0.0,0.0,1.0,2.0,0.5,28.0,4.0,0.321,0.143,0.464,50.0,13.0,0.2,0.26,0.46
1629627,Zion Williamson,1610612740,NOP,24.0,Zion,11.0,26.0,0.423,12.0,34.0,0.353,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,0.458,0.042,0.5,66.0,4.0,0.394,0.061,0.455
1628997,Caleb Martin,1610612755,PHI,29.0,Caleb,4.0,9.0,0.444,6.0,13.0,0.462,3.0,10.0,0.3,0.0,0.0,0.0,1.0,2.0,0.5,1.0,8.0,0.125,0.0,0.0,0.0,1.0,2.0,0.5,15.0,2.0,0.267,0.133,0.4,42.0,10.0,0.214,0.238,0.452
204456,T.J. McConnell,1610612754,IND,32.0,T.J.,10.0,14.0,0.714,7.0,8.0,0.875,3.0,13.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.5,0.0,0.5,36.0,1.0,0.389,0.028,0.417
1626157,Karl-Anthony Towns,1610612752,NYK,28.0,Karl-Anthony,4.0,11.0,0.364,16.0,21.0,0.762,3.0,10.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,31.0,8.0,0.129,0.258,0.387,53.0,11.0,0.208,0.208,0.416
1628389,Bam Adebayo,1610612748,MIA,27.0,Bam,5.0,6.0,0.833,9.0,18.0,0.5,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.333,0.0,0.333,38.0,8.0,0.158,0.211,0.369
1630567,Scottie Barnes,1610612761,TOR,23.0,Scottie,10.0,11.0,0.909,14.0,31.0,0.452,3.0,10.0,0.3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,29.0,2.0,0.345,0.069,0.414,63.0,11.0,0.175,0.175,0.35
201942,DeMar DeRozan,1610612758,SAC,35.0,DeMar,6.0,7.0,0.857,9.0,15.0,0.6,15.0,29.0,0.517,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,32.0,2.0,0.188,0.062,0.25,58.0,7.0,0.121,0.121,0.242
